IBM1154  ok: IBM1154
IBM-1154  ok: IBM-1154
IBM1155  ok: IBM1155
IBM-1155  ok: IBM-1155
IBM1156  ok: IBM1156
IBM-1156  ok: IBM-1156
IBM1157  ok: IBM1157
IBM-1157  ok: IBM-1157
IBM1158  ok: IBM1158
IBM-1158  ok: IBM-1158
IBM1160  ok: IBM1160
IBM-1160  ok: IBM-1160
IBM1161  fail: IBM1161
IBM-1161  fail: IBM-1161
IBM1162  fail: IBM1162
IBM-1162  fail: IBM-1162
IBM1163  ok: IBM1163
IBM-1163  ok: IBM-1163
IBM1164  ok: IBM1164
IBM-1164  ok: IBM-1164
IBM1166  ok: IBM1166
IBM-1166  ok: IBM-1166
IBM1167  ok: IBM1167
IBM-1167  ok: IBM-1167
IBM12712  fail: IBM12712
IBM-12712  fail: IBM-12712
IBM1364  fail: IBM1364
IBM-1364  fail: IBM-1364
IBM1371  fail: IBM1371
IBM-1371  fail: IBM-1371
IBM1388  fail: IBM1388
IBM-1388  fail: IBM-1388
IBM1390  fail: IBM1390
IBM-1390  fail: IBM-1390
IBM1399  fail: IBM1399
IBM-1399  fail: IBM-1399
IBM16804  fail: IBM16804
IBM-16804  fail: IBM-16804
IBM256  ok: IBM256
IBM273  ok: IBM273
IBM274  fail: IBM274
IBM275  fail: IBM275
IBM277  ok: IBM277
IBM278  ok: IBM278
IBM280  ok: IBM280
IBM281  fail: IBM281
IBM284  ok: IBM284
IBM285  ok: IBM285
IBM290  fail: IBM290
IBM297  ok: IBM297
IBM367  fail: IBM367
IBM420  fail: IBM420
IBM423  fail: IBM423
IBM424  fail: IBM424
IBM437  ok: IBM437
IBM4517  fail: IBM4517
IBM-4517  fail: IBM-4517
IBM4899  fail: IBM4899
IBM-4899  fail: IBM-4899
IBM4909  fail: IBM4909
IBM-4909  fail: IBM-4909
IBM4971  fail: IBM4971
IBM-4971  fail: IBM-4971
IBM500  ok: IBM500
IBM5347  ok: IBM5347
IBM-5347  ok: IBM-5347
IBM775  ok: IBM775
IBM803  fail: IBM803
IBM-803  fail: IBM-803
IBM813  fail: IBM813
IBM819  ok: IBM819
IBM848  ok: IBM848
IBM850  ok: IBM850
IBM851  fail: IBM851
IBM852  ok: IBM852
IBM855  ok: IBM855
IBM856  fail: IBM856
IBM-856  fail: IBM-856
IBM857  fail: IBM857
IBM860  ok: IBM860
IBM861  ok: IBM861
IBM862  ok: IBM862
IBM863  ok: IBM863
IBM864  fail: IBM864
IBM865  ok: IBM865
IBM866  ok: IBM866
IBM866NAV  ok: IBM866NAV
IBM868  fail: IBM868
IBM869  fail: IBM869
IBM870  ok: IBM870
IBM871  ok: IBM871
IBM874  fail: IBM874
